Date,Value
10/1/2017,663214577.9
10/2/2017,499781337.7
10/3/2017,848062737.2
10/4/2017,691406024.5
10/5/2017,591746166.8
10/6/2017,814413222
10/7/2017,714231923.3
10/8/2017,553329639.8
10/9/2017,676195487.5
10/10/2017,1118783648
10/11/2017,1174146929
10/12/2017,837665469.6
10/13/2017,1107300180
10/14/2017,1448422310
10/15/2017,1023554359
10/16/2017,868580434.8
10/17/2017,1149273839
10/18/2017,1111146061
10/19/2017,1395865356
10/20/2017,1448451292
10/21/2017,1118742454
10/22/2017,929448820.6
10/23/2017,1006861960
10/24/2017,2396482267
10/25/2017,2102862590
10/26/2017,2136570418
10/27/2017,1970506447
10/28/2017,952470634.5
10/29/2017,645113300.6
10/30/2017,1306645347
10/31/2017,1681454664
11/1/2017,1589432236
11/2/2017,1269856000
11/3/2017,2392765594
11/4/2017,1672135010
11/5/2017,1424364753
11/6/2017,1309726635
11/7/2017,1568492020
11/8/2017,1826009241
11/9/2017,1888939271
11/10/2017,2267000254
11/11/2017,1944419256
11/12/2017,1344145630
11/13/2017,1844282045
11/14/2017,2115296496
11/15/2017,1833276923
11/16/2017,2324329725
11/17/2017,2351529593
11/18/2017,2803405660
11/19/2017,1971800219
11/20/2017,1610358778
11/21/2017,2394321375
11/22/2017,2546719238
11/23/2017,1730604252
11/24/2017,2455560233
11/25/2017,2691426205
11/26/2017,2368622336
11/27/2017,2264912543
11/28/2017,3413320842
11/29/2017,3250901799
11/30/2017,3966055570
12/1/2017,3480444824
12/2/2017,2679696383
12/3/2017,1985357943
12/4/2017,2019481499
12/5/2017,2601197062
12/6/2017,2667850402
12/7/2017,3627399597
12/8/2017,5615762341
12/9/2017,4799300875
12/10/2017,3891389970
12/11/2017,3572482517
12/12/2017,4271582104
12/13/2017,5760245260
12/14/2017,4658395921
12/15/2017,3587876011
12/16/2017,4213976778
12/17/2017,3581766252
12/18/2017,5065451796
12/19/2017,4873481582
12/20/2017,3771403824
12/21/2017,5152140336
12/22/2017,3660301618
12/23/2017,4421187413
12/24/2017,2465336231
12/25/2017,2547688082
12/26/2017,2519602088
12/27/2017,3172612011
12/28/2017,4694566031
12/29/2017,3618298008
12/30/2017,3682930089
12/31/2017,3942726332
1/1/2018,3322403205
1/2/2018,2552418376
1/3/2018,3526212015
1/4/2018,2850171441
1/5/2018,4053543884
1/6/2018,5164208948
1/7/2018,3932860282
1/8/2018,4897713642
1/9/2018,4040000008
1/10/2018,3794067603
1/11/2018,3931428179
1/12/2018,3600871653
1/13/2018,3261904630
1/14/2018,2614290042
1/15/2018,2678410640
1/16/2018,2828536553
1/17/2018,3021888568
1/18/2018,2806040584
1/19/2018,2711507318
1/20/2018,2503297607
1/21/2018,2694792832
1/22/2018,1773530155
1/23/2018,2099490616
1/24/2018,2003121185
1/25/2018,2100547354
1/26/2018,2123135103
1/27/2018,2822337880
1/28/2018,1380662035
1/29/2018,1924759198
1/30/2018,1800278170
1/31/2018,1759355793
2/1/2018,1618658854
2/2/2018,2515366060
2/3/2018,2944216908
2/4/2018,1491970146
2/5/2018,1623376684
2/6/2018,1758323361
2/7/2018,2199269651
2/8/2018,1686470712
2/9/2018,1764215069
2/10/2018,1702603673
2/11/2018,966861580.2
2/12/2018,715801285.2
2/13/2018,1595114436
2/14/2018,1263264354
2/15/2018,1382435889
2/16/2018,1288852356
2/17/2018,1080869423
2/18/2018,877050948.2
2/19/2018,836693606.2
2/20/2018,1149698995
2/21/2018,1485357828
2/22/2018,1532098344
2/23/2018,2511448109
2/24/2018,1789955858
2/25/2018,1626761888
2/26/2018,739859891.4
2/27/2018,1108188222
2/28/2018,1499367704
3/1/2018,2094368620
3/2/2018,2018301937
3/3/2018,1317221659
3/4/2018,1034631166
3/5/2018,1054511194
3/6/2018,1582234331
3/7/2018,1277459300
3/8/2018,1580136725
3/9/2018,1349195039
3/10/2018,1906277895
3/11/2018,950847699.8
3/12/2018,1016923552
3/13/2018,1092739346
3/14/2018,1418568667
3/15/2018,1221695123
3/16/2018,1238238594
3/17/2018,980782712.3
3/18/2018,703389492.2
3/19/2018,867210361.7
3/20/2018,1122875101
3/21/2018,1036873619
3/22/2018,1037303973
3/23/2018,979427716.1
3/24/2018,961129741.4
3/25/2018,604208316.9
3/26/2018,911678930.7
3/27/2018,1014204077
3/28/2018,933013627.3
3/29/2018,852300507.9
3/30/2018,1048746364
3/31/2018,1221858177
4/1/2018,550645501.6
4/2/2018,585197702.8
4/3/2018,772083379.2
4/4/2018,991675387.2
4/5/2018,749856523.3
4/6/2018,765778976.1
4/7/2018,707820872
4/8/2018,653970929
4/9/2018,548374125.2
4/10/2018,767735388.2
4/11/2018,814234811
4/12/2018,944371471.2
4/13/2018,1427097611
4/14/2018,1139372876
4/15/2018,519632756
4/16/2018,565887878
4/17/2018,870304184.2
4/18/2018,905161446.5
4/19/2018,837466036
4/20/2018,1383779299
4/21/2018,1159554824
4/22/2018,968060858
4/23/2018,662423526.7
4/24/2018,1174366424
4/25/2018,1794341045
4/26/2018,1640070695
4/27/2018,1420907959
4/28/2018,1241919188
4/29/2018,1666871609
4/30/2018,1007425923
5/1/2018,1035300588
5/2/2018,855147576
5/3/2018,1367783031
5/4/2018,1327368113
5/5/2018,1411310862
5/6/2018,1023518305
5/7/2018,988115175.6
5/8/2018,1292283432
5/9/2018,1301704097
5/10/2018,1210273479
5/11/2018,1324180127
5/12/2018,1272408040
5/13/2018,918875391.7
5/14/2018,635299096.6
5/15/2018,1865447207
5/16/2018,1081411504
5/17/2018,1353735436
5/18/2018,1921347087
5/19/2018,1787078403
5/20/2018,569531075.2
5/21/2018,515334603
5/22/2018,790740779.4
5/23/2018,877226131.5
