"dates_s","gold_price"
"2016-01-01",1072.72
"2016-01-02",1072.82
"2016-01-03",1072.92
"2016-01-04",1072.7
"2016-01-05",1078
"2016-01-06",1083.85
"2016-01-07",1096
"2016-01-08",1097.45
"2016-01-09",1099.62
"2016-01-10",1101.79
"2016-01-11",1104.7
"2016-01-12",1094.85
"2016-01-13",1081.8
"2016-01-14",1090.75
"2016-01-15",1081.1
"2016-01-16",1084.57
"2016-01-17",1087.33
"2016-01-18",1090.45
"2016-01-19",1087
"2016-01-20",1093.2
"2016-01-21",1096.8
"2016-01-22",1097.65
"2016-01-23",1099.88
"2016-01-24",1102.05
"2016-01-25",1103.7
"2016-01-26",1114.7
"2016-01-27",1116.5
"2016-01-28",1119
"2016-01-29",1112.9
"2016-01-30",1116.26
"2016-01-31",1119.1
"2016-02-01",1122
"2016-02-02",1123.6
"2016-02-03",1130
"2016-02-04",1146.25
"2016-02-05",1158.5
"2016-02-06",1163.36
"2016-02-07",1168.66
"2016-02-08",1173.4
"2016-02-09",1188.9
"2016-02-10",1183.4
"2016-02-11",1223.25
"2016-02-12",1239.5
"2016-02-13",1228.3
"2016-02-14",1218.75
"2016-02-15",1208.45
"2016-02-16",1212
"2016-02-17",1202.4
"2016-02-18",1204.4
"2016-02-19",1221.5
"2016-02-20",1215.09
"2016-02-21",1209.98
"2016-02-22",1203.65
"2016-02-23",1218.75
"2016-02-24",1232.25
"2016-02-25",1235.4
"2016-02-26",1231
"2016-02-27",1232.33
"2016-02-28",1233.36
"2016-02-29",1234.15
"2016-03-01",1240
"2016-03-02",1229.35
"2016-03-03",1241.95
"2016-03-04",1271.5
"2016-03-05",1269.13
"2016-03-06",1268.54
"2016-03-07",1267.6
"2016-03-08",1274.1
"2016-03-09",1258.25
"2016-03-10",1247.25
"2016-03-11",1262.25
"2016-03-12",1259.32
"2016-03-13",1257.34
"2016-03-14",1256.55
"2016-03-15",1233.6
"2016-03-16",1233.1
"2016-03-17",1269.6
"2016-03-18",1254.5
"2016-03-19",1251.64
"2016-03-20",1248.23
"2016-03-21",1244.25
"2016-03-22",1251.8
"2016-03-23",1232.2
"2016-03-24",1216.45
"2016-03-25",1217.48
"2016-03-26",1217.53
"2016-03-27",1217.58
"2016-03-28",1217.63
"2016-03-29",1216.45
"2016-03-30",1238.2
"2016-03-31",1233.6
"2016-04-01",1232.1
"2016-04-02",1226.67
"2016-04-03",1221.46
"2016-04-04",1215
"2016-04-05",1231.5
"2016-04-06",1225.75
"2016-04-07",1237.5
"2016-04-08",1235
"2016-04-09",1239.45
"2016-04-10",1243.55
"2016-04-11",1247.25
"2016-04-12",1259.2
"2016-04-13",1245.75
"2016-04-14",1240.3
"2016-04-15",1229.75
"2016-04-16",1232.95
"2016-04-17",1235.38
"2016-04-18",1237.7
"2016-04-19",1241.7
"2016-04-20",1247.75
"2016-04-21",1257.65
"2016-04-22",1245.4
"2016-04-23",1240.98
"2016-04-24",1236.19
"2016-04-25",1230.85
"2016-04-26",1234.5
"2016-04-27",1244.75
"2016-04-28",1256.6
"2016-04-29",1274.5
"2016-04-30",1279.12
"2016-05-01",1284.49
"2016-05-02",1289.86
"2016-05-03",1296.5
"2016-05-04",1280.3
"2016-05-05",1275.75
"2016-05-06",1280.25
"2016-05-07",1279
"2016-05-08",1278.04
"2016-05-09",1277.75
"2016-05-10",1264.85
"2016-05-11",1271.8
"2016-05-12",1268.3
"2016-05-13",1275.15
"2016-05-14",1276.67
"2016-05-15",1278.47
"2016-05-16",1281
"2016-05-17",1270.1
"2016-05-18",1270.9
"2016-05-19",1253.75
"2016-05-20",1256.5
"2016-05-21",1254.18
"2016-05-22",1252.1
"2016-05-23",1250.4
"2016-05-24",1242.65
"2016-05-25",1220.75
"2016-05-26",1226.65
"2016-05-27",1221.25
"2016-05-28",1218.79
"2016-05-29",1216.19
"2016-05-30",1213.59
"2016-05-31",1210.5
"2016-06-01",1216.25
"2016-06-02",1215.5
"2016-06-03",1211
"2016-06-04",1221.24
"2016-06-05",1230.64
"2016-06-06",1240.55
"2016-06-07",1241.1
"2016-06-08",1252.4
"2016-06-09",1258.35
"2016-06-10",1266.6
"2016-06-11",1272.13
"2016-06-12",1277.81
"2016-06-13",1284.1
"2016-06-14",1279.4
"2016-06-15",1282
"2016-06-16",1307
"2016-06-17",1284.5
"2016-06-18",1284.81
"2016-06-19",1283.96
"2016-06-20",1283.25
"2016-06-21",1280.8
"2016-06-22",1265
"2016-06-23",1265.75
"2016-06-24",1313.85
"2016-06-25",1315.44
"2016-06-26",1319.54
"2016-06-27",1324.6
"2016-06-28",1312
"2016-06-29",1317.75
"2016-06-30",1317
"2016-07-01",1331.75
"2016-07-02",1336.92
"2016-07-03",1342.59
"2016-07-04",1348.75
"2016-07-05",1344.75
"2016-07-06",1370
"2016-07-07",1367.1
"2016-07-08",1356.1
"2016-07-09",1357.13
"2016-07-10",1357.5
"2016-07-11",1358.25
"2016-07-12",1352.85
"2016-07-13",1340.25
"2016-07-14",1325.7
"2016-07-15",1330.5
"2016-07-16",1328.98
"2016-07-17",1327.77
"2016-07-18",1326.15
"2016-07-19",1332.2
"2016-07-20",1325.6
"2016-07-21",1322
"2016-07-22",1323.2
"2016-07-23",1320.5
"2016-07-24",1318.01
"2016-07-25",1315
"2016-07-26",1321.25
"2016-07-27",1320.8
"2016-07-28",1341.3
"2016-07-29",1332.5
"2016-07-30",1338.53
"2016-07-31",1343.81
"2016-08-01",1348.85
"2016-08-02",1358.15
"2016-08-03",1364.4
"2016-08-04",1351.15
"2016-08-05",1362.6
"2016-08-06",1351.19
"2016-08-07",1341.02
"2016-08-08",1330
"2016-08-09",1332.9
"2016-08-10",1351.85
"2016-08-11",1344.55
"2016-08-12",1336.7
"2016-08-13",1338.05
"2016-08-14",1338.87
"2016-08-15",1339.2
"2016-08-16",1349.1
"2016-08-17",1342.75
"2016-08-18",1347.1
"2016-08-19",1346.85
"2016-08-20",1342.67
"2016-08-21",1338.72
"2016-08-22",1334.3
"2016-08-23",1338.5
"2016-08-24",1337.3
"2016-08-25",1324.5
"2016-08-26",1324.9
"2016-08-27",1323.28
"2016-08-28",1321.74
"2016-08-29",1320.2
"2016-08-30",1318.85
"2016-08-31",1314.45
"2016-09-01",1305.7
"2016-09-02",1311.5
"2016-09-03",1317.06
"2016-09-04",1322.59
"2016-09-05",1328.3
"2016-09-06",1330.05
"2016-09-07",1348.75
"2016-09-08",1348
"2016-09-09",1335.65
"2016-09-10",1333.36
"2016-09-11",1330.54
"2016-09-12",1327.5
"2016-09-13",1328.5
"2016-09-14",1323.2
"2016-09-15",1320.1
"2016-09-16",1314.25
"2016-09-17",1314.76
"2016-09-18",1314.92
"2016-09-19",1315.05
"2016-09-20",1315.4
"2016-09-21",1319.6
"2016-09-22",1332.45
"2016-09-23",1335.9
"2016-09-24",1335.85
"2016-09-25",1336.04
"2016-09-26",1336.3
"2016-09-27",1335.85
"2016-09-28",1324.8
"2016-09-29",1320.85
"2016-09-30",1327.9
"2016-10-01",1324.27
"2016-10-02",1321.22
"2016-10-03",1318.65
"2016-10-04",1309.15
"2016-10-05",1274
"2016-10-06",1265.5
"2016-10-07",1255
"2016-10-08",1257.72
"2016-10-09",1259.69
"2016-10-10",1262.1
"2016-10-11",1256.4
"2016-10-12",1255.7
"2016-10-13",1258
"2016-10-14",1256.15
"2016-10-15",1255.23
"2016-10-16",1254.26
"2016-10-17",1252.7
"2016-10-18",1261.65
"2016-10-19",1269.75
"2016-10-20",1269.2
"2016-10-21",1263.95
"2016-10-22",1265.24
"2016-10-23",1266.16
"2016-10-24",1267
"2016-10-25",1269.3
"2016-10-26",1273.9
"2016-10-27",1269.3
"2016-10-28",1265.9
"2016-10-29",1269.07
"2016-10-30",1271.86
"2016-10-31",1274.2
"2016-11-01",1284.4
"2016-11-02",1295.85
"2016-11-03",1293
"2016-11-04",1301.7
"2016-11-05",1296.28
"2016-11-06",1291.63
"2016-11-07",1286.8
"2016-11-08",1284
"2016-11-09",1304.55
"2016-11-10",1280.9
"2016-11-11",1255.65
"2016-11-12",1245.55
"2016-11-13",1234.58
"2016-11-14",1222.6
"2016-11-15",1228.9
"2016-11-16",1225.7
"2016-11-17",1232
"2016-11-18",1206.1
"2016-11-19",1210.12
"2016-11-20",1212.53
"2016-11-21",1214.95
"2016-11-22",1217.55
"2016-11-23",1213.25
"2016-11-24",1187.25
"2016-11-25",1187.5
"2016-11-26",1188.06
"2016-11-27",1188.51
"2016-11-28",1189.1
"2016-11-29",1187.3
"2016-11-30",1187.4
"2016-12-01",1168.75
"2016-12-02",1171.65
"2016-12-03",1169.41
"2016-12-04",1167.4
"2016-12-05",1164.9
"2016-12-06",1171.15
"2016-12-07",1171.25
"2016-12-08",1174.75
"2016-12-09",1168.9
"2016-12-10",1164.25
"2016-12-11",1159.55
"2016-12-12",1154.4
"2016-12-13",1157.35
"2016-12-14",1160.95
"2016-12-15",1132.45
"2016-12-16",1134.85
"2016-12-17",1135.66
"2016-12-18",1136.47
"2016-12-19",1137.6
"2016-12-20",1132.75
"2016-12-21",1134.4
"2016-12-22",1130.55
"2016-12-23",1131
"2016-12-24",1132.89
"2016-12-25",1134.69
"2016-12-26",1136.49
"2016-12-27",1138.29
"2016-12-28",1139.75
"2016-12-29",1146.8
"2016-12-30",1159.1
"2016-12-31",1156.13
"2017-01-01",1154.02
"2017-01-02",1151.91
"2017-01-03",1148.65
"2017-01-04",1165.9
"2017-01-05",1173.05
"2017-01-06",1178
"2017-01-07",1177.29
"2017-01-08",1176.92
"2017-01-09",1176.1
"2017-01-10",1183.2
"2017-01-11",1187.55
"2017-01-12",1206.65
"2017-01-13",1196.35
"2017-01-14",1199.16
"2017-01-15",1201.3
"2017-01-16",1202.75
"2017-01-17",1217.5
"2017-01-18",1212.5
"2017-01-19",1203.35
"2017-01-20",1199.1
"2017-01-21",1204.24
"2017-01-22",1208.82
"2017-01-23",1213.75
"2017-01-24",1213.3
"2017-01-25",1203.5
"2017-01-26",1191.55
"2017-01-27",1184.2
"2017-01-28",1186.62
"2017-01-29",1188.45
"2017-01-30",1189.85
"2017-01-31",1198.8
"2017-02-01",1210
"2017-02-02",1224.05
"2017-02-03",1213.05
"2017-02-04",1216.61
"2017-02-05",1219.42
"2017-02-06",1221.85
"2017-02-07",1231
"2017-02-08",1235.6
"2017-02-09",1241.75
"2017-02-10",1225.75
"2017-02-11",1227.58
"2017-02-12",1228.47
"2017-02-13",1229.4
"2017-02-14",1229.65
"2017-02-15",1225.15
"2017-02-16",1236.75
"2017-02-17",1241.4
"2017-02-18",1239.02
"2017-02-19",1237.07
"2017-02-20",1235.35
"2017-02-21",1228.7
"2017-02-22",1237.5
"2017-02-23",1237.35
"2017-02-24",1255.35
"2017-02-25",1254.88
"2017-02-26",1255.41
"2017-02-27",1256.25
"2017-02-28",1251.9
"2017-03-01",1246.05
"2017-03-02",1243.3
"2017-03-03",1228.75
"2017-03-04",1229.97
"2017-03-05",1230.32
"2017-03-06",1231.15
"2017-03-07",1223.7
"2017-03-08",1213.3
"2017-03-09",1204.6
"2017-03-10",1196.55
"2017-03-11",1200.62
"2017-03-12",1203.98
"2017-03-13",1207.8
"2017-03-14",1203.55
"2017-03-15",1202.25
"2017-03-16",1225.6
"2017-03-17",1228.75
"2017-03-18",1230.02
"2017-03-19",1231.46
"2017-03-20",1233
"2017-03-21",1232.05
"2017-03-22",1246.1
"2017-03-23",1247.9
"2017-03-24",1244
"2017-03-25",1248.46
"2017-03-26",1252.46
"2017-03-27",1256.9
"2017-03-28",1253.65
"2017-03-29",1252.9
"2017-03-30",1250.9
"2017-03-31",1241.7
"2017-04-01",1243.84
"2017-04-02",1245.34
"2017-04-03",1246.25
"2017-04-04",1258.65
"2017-04-05",1252.5
"2017-04-06",1253.75
"2017-04-07",1264.3
"2017-04-08",1260.32
"2017-04-09",1257.15
"2017-04-10",1253.6
"2017-04-11",1255.7
"2017-04-12",1272.3
"2017-04-13",1286.1
"2017-04-14",1285.16
"2017-04-15",1285.08
"2017-04-16",1285
"2017-04-17",1284.91
"2017-04-18",1285
"2017-04-19",1282.05
"2017-04-20",1279.9
"2017-04-21",1281.5
"2017-04-22",1278.12
"2017-04-23",1275.01
"2017-04-24",1271.8
"2017-04-25",1270.5
"2017-04-26",1264.95
"2017-04-27",1264.3
"2017-04-28",1265.55
"2017-04-29",1262.95
"2017-04-30",1260.56
"2017-05-01",1258.17
"2017-05-02",1255.8
"2017-05-03",1253.95
"2017-05-04",1235.85
"2017-05-05",1239.4
"2017-05-06",1235.92
"2017-05-07",1232.77
"2017-05-08",1229.7
"2017-05-09",1225.15
"2017-05-10",1222.95
"2017-05-11",1221
"2017-05-12",1227.9
"2017-05-13",1228.93
"2017-05-14",1230.27
"2017-05-15",1231.5
"2017-05-16",1234.05
"2017-05-17",1244.6
"2017-05-18",1261.35
"2017-05-19",1251.85
"2017-05-20",1253.41
"2017-05-21",1254.42
"2017-05-22",1255.25
"2017-05-23",1259.9
"2017-05-24",1251.35
"2017-05-25",1257.1
"2017-05-26",1265
"2017-05-27",1264.1
"2017-05-28",1263.7
"2017-05-29",1263.29
"2017-05-30",1262.8
"2017-05-31",1263.8
"2017-06-01",1266.15
"2017-06-02",1260.95
"2017-06-03",1268
"2017-06-04",1274.37
"2017-06-05",1280.7
"2017-06-06",1287.85
"2017-06-07",1292.7
"2017-06-08",1284.8
"2017-06-09",1274.25
"2017-06-10",1272.82
"2017-06-11",1270.88
"2017-06-12",1269.25
"2017-06-13",1261.3
"2017-06-14",1268.25
"2017-06-15",1260.25
"2017-06-16",1256.6
"2017-06-17",1254.8
"2017-06-18",1252.88
"2017-06-19",1251.1
"2017-06-20",1246.5
"2017-06-21",1247.05
"2017-06-22",1251.4
"2017-06-23",1256.3
"2017-06-24",1251.04
"2017-06-25",1246.36
"2017-06-26",1240.85
"2017-06-27",1250.4
"2017-06-28",1251.6
"2017-06-29",1246.6
"2017-06-30",1243.25
"2017-07-01",1240.44
"2017-07-02",1237.59
"2017-07-03",1235.2
"2017-07-04",1224.25
"2017-07-05",1221.9
"2017-07-06",1224.3
"2017-07-07",1220.4
"2017-07-08",1216.27
"2017-07-09",1212.17
"2017-07-10",1207.55
"2017-07-11",1211.9
"2017-07-12",1219.4
"2017-07-13",1221.4
"2017-07-14",1218.95
"2017-07-15",1222.89
"2017-07-16",1226.47
"2017-07-17",1229.85
"2017-07-18",1237.1
"2017-07-19",1239.85
"2017-07-20",1236.55
"2017-07-21",1247.25
"2017-07-22",1249.69
"2017-07-23",1252.56
"2017-07-24",1255.85
"2017-07-25",1252
"2017-07-26",1245.4
"2017-07-27",1262.05
"2017-07-28",1259.6
"2017-07-29",1261.96
"2017-07-30",1264.11
"2017-07-31",1266.35
"2017-08-01",1267.05
"2017-08-02",1266.65
"2017-08-03",1261.8
"2017-08-04",1269.3
"2017-08-05",1265.12
"2017-08-06",1261.57
"2017-08-07",1257.55
"2017-08-08",1261.45
"2017-08-09",1267.95
"2017-08-10",1278.9
"2017-08-11",1288.3
"2017-08-12",1285.37
"2017-08-13",1283.15
"2017-08-14",1281.1
"2017-08-15",1276.16
"2017-08-16",1270.15
"2017-08-17",1285.9
"2017-08-18",1295.25
"2017-08-19",1292.21
"2017-08-20",1289.91
"2017-08-21",1287.6
"2017-08-22",1285.1
"2017-08-23",1286.45
"2017-08-24",1285.9
"2017-08-25",1287.05
"2017-08-26",1296.17
"2017-08-27",1304.82
"2017-08-28",1313.47
"2017-08-29",1323.4
"2017-08-30",1310.6
"2017-08-31",1305.8
"2017-09-01",1318.4
"2017-09-02",1323.38
"2017-09-03",1328.74
"2017-09-04",1334.6
"2017-09-05",1331.15
"2017-09-06",1340.15
"2017-09-07",1340.45
"2017-09-08",1350.9
"2017-09-09",1346.13
"2017-09-10",1342.21
"2017-09-11",1338.75
"2017-09-12",1326.25
"2017-09-13",1332.25
"2017-09-14",1323
"2017-09-15",1325
"2017-09-16",1321.23
"2017-09-17",1317.76
"2017-09-18",1314.4
"2017-09-19",1308.45
"2017-09-20",1314.9
"2017-09-21",1297.35
"2017-09-22",1297
"2017-09-23",1296.75
"2017-09-24",1296.43
"2017-09-25",1295.5
"2017-09-26",1306.9
"2017-09-27",1291.3
"2017-09-28",1284.3
"2017-09-29",1286.95
"2017-09-30",1282.12
"2017-10-01",1277.68
"2017-10-02",1273.1
"2017-10-03",1270.7
"2017-10-04",1275.55
"2017-10-05",1278.4
"2017-10-06",1268.2
"2017-10-07",1273.47
"2017-10-08",1277.89
"2017-10-09",1282.15
"2017-10-10",1289.6
"2017-10-11",1290.2
"2017-10-12",1294.45
"2017-10-13",1293.9
"2017-10-14",1297.42
"2017-10-15",1300.73
"2017-10-16",1305.15
"2017-10-17",1289.7
"2017-10-18",1280.65
"2017-10-19",1283.4
"2017-10-20",1280.25
"2017-10-21",1278.72
"2017-10-22",1277.11
"2017-10-23",1275.25
"2017-10-24",1278.3
"2017-10-25",1273
"2017-10-26",1278
"2017-10-27",1267.8
"2017-10-28",1269.9
"2017-10-29",1271.33
"2017-10-30",1272.75
"2017-10-31",1274.4
"2017-11-01",1279.25
"2017-11-02",1276.4
"2017-11-03",1275.3
"2017-11-04",1274.19
"2017-11-05",1273.08
"2017-11-06",1271.6
"2017-11-07",1276.35
"2017-11-08",1282.25
"2017-11-09",1284
"2017-11-10",1284.45
"2017-11-11",1282.29
"2017-11-12",1280.29
"2017-11-13",1278.4
"2017-11-14",1273.7
"2017-11-15",1285.7
"2017-11-16",1277.7
"2017-11-17",1283.85
"2017-11-18",1286.28
"2017-11-19",1288.89
"2017-11-20",1292.35
"2017-11-21",1280
"2017-11-22",1283.95
"2017-11-23",1290.15
"2017-11-24",1289.15
"2017-11-25",1291.04
"2017-11-26",1292.8
"2017-11-27",1294.7
"2017-11-28",1293.9
"2017-11-29",1294.85
"2017-11-30",1282.15
"2017-12-01",1277.25
"2017-12-02",1278.02
"2017-12-03",1278.44
"2017-12-04",1279.1
"2017-12-05",1275.9
"2017-12-06",1268.55
"2017-12-07",1256.8
"2017-12-08",1245.85
"2017-12-09",1248.02
"2017-12-10",1249.44
"2017-12-11",1251.4
"2017-12-12",1243.4
"2017-12-13",1241.6
"2017-12-14",1255.6
"2017-12-15",1257.25
"2017-12-16",1257.72
"2017-12-17",1258.3
"2017-12-18",1258.65
"2017-12-19",1263.1
"2017-12-20",1265.95
"2017-12-21",1265.85
"2017-12-22",1268.05
"2017-12-23",1271.62
"2017-12-24",1275.11
"2017-12-25",1278.59
"2017-12-26",1282.08
"2017-12-27",1285.4
"2017-12-28",1291.6
"2017-12-29",1296.5
"2017-12-30",1300.5
"2017-12-31",1304.55
"2018-01-01",1308.6
"2018-01-02",1312.8
"2018-01-03",1314.6
"2018-01-04",1313.7
"2018-01-05",1317.9
"2018-01-06",1317.98
"2018-01-07",1318.28
"2018-01-08",1318.8
"2018-01-09",1314.95
"2018-01-10",1321.65
"2018-01-11",1319.85
"2018-01-12",1332.9
"2018-01-13",1335.68
"2018-01-14",1339.01
"2018-01-15",1343
"2018-01-16",1334.95
"2018-01-17",1337.35
"2018-01-18",1329.75
"2018-01-19",1335.8
"2018-01-20",1335.1
"2018-01-21",1334.74
"2018-01-22",1334.15
"2018-01-23",1337.1
"2018-01-24",1350.5
"2018-01-25",1360.25
"2018-01-26",1354.35
"2018-01-27",1352.47
"2018-01-28",1350.42
"2018-01-29",1348.4
"2018-01-30",1345.7
"2018-01-31",1343.35
"2018-02-01",1341.1
"2018-02-02",1345
"2018-02-03",1342.3
"2018-02-04",1339.96
"2018-02-05",1337.1
"2018-02-06",1344.65
"2018-02-07",1328.5
"2018-02-08",1311.05
"2018-02-09",1316.05
"2018-02-10",1317.97
"2018-02-11",1320
"2018-02-12",1321.7
"2018-02-13",1329.4
"2018-02-14",1330.75
"2018-02-15",1353.7
"2018-02-16",1358.6
"2018-02-17",1354.35
"2018-02-18",1350.68
"2018-02-19",1347.4
"2018-02-20",1337.4
"2018-02-21",1328.6
"2018-02-22",1323.5
"2018-02-23",1328.9
"2018-02-24",1332.02
"2018-02-25",1335.23
"2018-02-26",1339.05
"2018-02-27",1332.75
"2018-02-28",1320.3
"2018-03-01",1311.25
"2018-03-02",1316.75
"2018-03-03",1319.79
"2018-03-04",1322.92
"2018-03-05",1326.3
"2018-03-06",1324.95
"2018-03-07",1332.5
"2018-03-08",1325.4
"2018-03-09",1319.35
"2018-03-10",1318.92
"2018-03-11",1318.16
"2018-03-12",1317.25
"2018-03-13",1318.7
"2018-03-14",1324.95
"2018-03-15",1323.35
"2018-03-16",1320.05
"2018-03-17",1317.37
"2018-03-18",1314.65
"2018-03-19",1311.7
"2018-03-20",1312.75
"2018-03-21",1316.35
"2018-03-22",1328.85
"2018-03-23",1342.35
"2018-03-24",1343.9
"2018-03-25",1346.13
"2018-03-26",1348.4
"2018-03-27",1350.65
"2018-03-28",1341.05
"2018-03-29",1323.9
"2018-03-30",1327.41
"2018-03-31",1329.75
"2018-04-01",1332.09
"2018-04-02",1334.44
"2018-04-03",1336.6
"2018-04-04",1343.15
"2018-04-05",1327.05
"2018-04-06",1325.6
"2018-04-07",1326.83
"2018-04-08",1327.86
"2018-04-09",1328.5
"2018-04-10",1335.95
"2018-04-11",1345.2
"2018-04-12",1345.9
"2018-04-13",1340.75
"2018-04-14",1342.16
"2018-04-15",1343.21
"2018-04-16",1344.4
"2018-04-17",1342.95
"2018-04-18",1346.55
"2018-04-19",1347.9
"2018-04-20",1340.15
"2018-04-21",1336.3
"2018-04-22",1332.25
"2018-04-23",1328
"2018-04-24",1327.35
"2018-04-25",1325.7
"2018-04-26",1321.9
"2018-04-27",1317.7
"2018-04-28",1317.38
"2018-04-29",1316.84
"2018-04-30",1316.25
