date,btc,bitcoin,btc usd,btcusd,cypto,cryptocurrency,eth,ethereum,blockchain
2017-09-30,13,7,8,4,20,9,18,12,21
2017-10-01,13,7,9,3,0,9,18,12,20
2017-10-02,14,8,10,3,6,10,23,13,29
2017-10-03,14,8,9,4,6,10,24,14,32
2017-10-04,16,7,7,7,17,9,23,13,28
2017-10-05,17,8,9,8,6,9,24,13,31
2017-10-06,14,7,7,8,0,9,22,14,29
2017-10-07,13,7,6,4,26,8,18,13,22
2017-10-08,14,8,9,7,6,8,18,13,23
2017-10-09,15,9,9,6,6,10,25,16,31
2017-10-10,16,9,11,5,11,10,22,15,35
2017-10-11,14,9,9,2,11,9,24,15,37
2017-10-12,22,15,16,26,17,12,26,21,38
2017-10-13,25,18,18,19,12,12,30,28,38
2017-10-14,19,12,13,16,7,11,22,20,28
2017-10-15,17,11,12,8,6,11,25,19,26
2017-10-16,17,12,12,11,0,12,32,27,41
2017-10-17,17,11,12,11,11,12,28,24,44
2017-10-18,17,11,11,9,28,12,24,18,40
2017-10-19,17,11,12,14,12,11,25,17,38
2017-10-20,19,13,13,8,18,10,26,18,35
2017-10-21,21,14,15,7,6,11,22,20,30
2017-10-22,16,11,11,8,0,9,23,16,28
2017-10-23,19,14,12,8,16,11,26,20,41
2017-10-24,20,15,14,9,11,12,29,19,41
2017-10-25,18,13,11,4,6,11,27,17,40
2017-10-26,18,13,12,9,0,11,25,17,39
2017-10-27,17,11,11,9,0,10,24,16,38
2017-10-28,15,10,10,4,0,10,16,13,27
2017-10-29,16,11,10,6,6,10,21,15,26
2017-10-30,17,12,12,13,22,10,25,18,36
2017-10-31,20,14,15,7,11,12,26,18,39
2017-11-01,24,18,18,8,6,13,28,23,41
2017-11-02,33,24,25,20,11,15,33,29,46
2017-11-03,29,21,24,18,11,15,27,23,46
2017-11-04,22,16,17,7,0,13,23,21,38
2017-11-05,22,17,18,7,6,13,21,19,33
2017-11-06,23,17,17,17,5,13,26,23,43
2017-11-07,23,16,16,18,5,15,29,24,45
2017-11-08,25,18,19,21,5,15,29,28,45
2017-11-09,23,16,17,15,11,15,30,27,49
2017-11-10,25,20,20,25,6,15,26,24,42
2017-11-11,24,19,19,19,6,13,21,22,33
2017-11-12,28,24,23,29,19,16,24,22,40
2017-11-13,26,21,21,17,16,15,27,21,44
2017-11-14,21,17,16,13,5,15,31,22,45
2017-11-15,24,16,18,13,5,15,29,23,47
2017-11-16,25,17,21,17,11,15,27,21,46
2017-11-17,25,19,21,15,11,15,26,20,41
2017-11-18,22,15,15,12,13,14,22,17,30
2017-11-19,20,14,16,8,6,14,29,25,31
2017-11-20,25,19,19,12,16,17,33,28,43
2017-11-21,26,20,21,10,5,18,32,27,52
2017-11-22,23,17,17,2,11,16,29,23,47
2017-11-23,21,16,15,11,17,16,39,38,41
2017-11-24,21,15,15,10,11,15,40,44,42
2017-11-25,24,16,18,7,6,19,38,42,32
2017-11-26,33,24,28,19,6,21,36,40,37
2017-11-27,37,32,33,37,26,26,44,48,60
2017-11-28,40,37,42,32,21,30,45,53,62
2017-11-29,63,60,59,67,16,42,59,73,72
2017-11-30,50,49,50,54,11,34,46,56,66
2017-12-01,42,37,41,33,11,27,38,42,56
2017-12-02,38,30,32,21,12,27,35,37,47
2017-12-03,38,29,33,28,19,27,36,39,46
2017-12-04,38,33,36,28,27,33,46,43,63
2017-12-05,39,35,35,18,27,32,46,43,64
2017-12-06,51,47,48,39,11,41,57,60,71
2017-12-07,98,94,100,89,39,48,64,77,100
2017-12-08,85,85,89,100,40,47,59,70,84
2017-12-09,59,58,56,60,19,44,49,62,67
2017-12-10,53,54,52,35,31,38,41,51,59
2017-12-11,63,63,63,49,32,44,51,56,75
2017-12-12,59,58,55,31,43,69,76,93,87
2017-12-13,56,51,55,35,49,71,81,100,82
2017-12-14,53,46,50,25,33,66,72,79,75
2017-12-15,48,42,43,22,17,57,59,65,71
2017-12-16,50,41,46,27,32,51,50,56,61
2017-12-17,56,47,55,31,32,58,56,55,68
2017-12-18,56,47,54,38,84,57,61,59,79
2017-12-19,58,49,54,30,51,68,75,84,88
2017-12-20,67,67,62,44,52,66,66,68,85
2017-12-21,65,51,58,34,35,66,61,60,96
2017-12-22,100,100,100,89,55,90,73,78,90
2017-12-23,72,62,76,45,27,61,51,51,65
2017-12-24,57,47,57,44,35,54,43,42,54
2017-12-25,53,39,52,41,42,46,45,42,54
2017-12-26,48,40,46,44,43,45,45,42,66
2017-12-27,47,37,46,26,24,46,46,43,66
2017-12-28,48,38,47,30,24,47,47,44,67
2017-12-29,47,33,47,27,42,55,51,39,58
2017-12-30,48,33,42,21,38,65,54,39,47
2017-12-31,41,28,41,15,48,51,41,34,41
2018-01-01,38,27,37,17,27,46,45,31,40
2018-01-02,46,31,44,22,45,63,62,61,63
2018-01-03,50,31,45,19,33,73,71,57,75
2018-01-04,50,30,45,16,76,88,89,70,71
2018-01-05,48,29,42,22,62,81,79,64,71
2018-01-06,46,25,43,20,37,73,70,54,58
2018-01-07,45,26,41,23,61,74,76,61,65
2018-01-08,45,29,40,20,37,75,91,81,72
2018-01-09,44,27,38,21,53,68,88,76,78
2018-01-10,42,28,37,23,65,73,100,91,85
2018-01-11,44,33,39,29,76,78,80,74,81
2018-01-12,39,26,33,24,50,58,70,58,73
2018-01-13,36,23,31,18,18,55,72,60,54
2018-01-14,34,21,24,11,42,54,63,56,54
2018-01-15,33,22,28,18,21,47,67,49,60
2018-01-16,49,43,45,42,100,100,78,76,69
2018-01-17,65,57,65,58,42,95,79,81,75
2018-01-18,54,40,52,50,27,62,71,57,72
2018-01-19,37,29,33,30,38,46,60,46,63
2018-01-20,33,24,29,25,60,40,51,40,51
2018-01-21,30,23,26,21,24,43,48,37,47
2018-01-22,33,26,29,19,46,43,53,41,62
2018-01-23,33,25,29,21,42,41,51,39,62
2018-01-24,29,23,26,15,41,37,48,33,58
2018-01-25,30,22,25,26,21,36,49,34,61
2018-01-26,28,22,24,27,28,35,47,31,54
2018-01-27,26,19,21,28,18,33,38,28,42
2018-01-28,25,18,20,19,18,33,49,38,46
2018-01-29,25,19,21,9,16,33,52,36,59
2018-01-30,26,20,23,22,10,37,48,32,54
2018-01-31,29,22,27,19,16,38,46,34,54
2018-02-01,34,29,31,30,16,49,57,37,55
2018-02-02,43,37,41,44,55,56,55,45,54
2018-02-03,34,24,33,20,18,33,38,30,38
2018-02-04,29,22,28,32,24,32,40,29,34
2018-02-05,43,37,43,58,11,51,47,42,47
2018-02-06,55,47,61,60,63,56,53,46,49
2018-02-07,39,30,40,41,26,37,45,31,52
2018-02-08,32,24,31,23,5,28,41,27,50
2018-02-09,28,22,28,18,5,28,37,25,52
2018-02-10,26,18,22,15,18,27,35,23,30
2018-02-11,22,16,19,20,12,24,30,21,34
2018-02-12,25,18,21,11,11,25,36,23,42
2018-02-13,23,16,19,11,16,25,36,24,47
2018-02-14,23,16,19,11,11,25,33,22,46
2018-02-15,26,18,22,17,11,25,36,25,55
2018-02-16,25,17,20,12,17,23,33,22,47
2018-02-17,24,15,20,16,12,21,33,21,35
2018-02-18,23,16,18,24,18,23,30,21,36
2018-02-19,23,14,18,12,32,21,35,20,47
2018-02-20,24,16,21,22,10,24,40,23,54
2018-02-21,22,16,19,14,16,27,38,22,53
2018-02-22,20,15,17,18,16,24,34,19,47
2018-02-23,19,13,16,16,22,21,34,19,43
2018-02-24,18,12,12,15,0,18,27,16,32
2018-02-25,17,11,13,12,6,18,28,16,31
2018-02-26,19,12,14,15,26,18,34,17,44
2018-02-27,19,13,15,13,10,18,34,18,49
2018-02-28,17,12,13,14,21,17,32,15,44
2018-03-01,17,11,13,7,15,18,32,15,43
2018-03-02,18,11,14,7,5,17,31,16,40
2018-03-03,18,11,14,16,6,14,26,15,30
2018-03-04,16,10,14,14,0,15,26,17,31
2018-03-05,17,11,12,11,36,16,30,17,46
2018-03-06,16,11,11,15,10,18,32,17,48
2018-03-07,18,13,12,9,26,21,35,18,49
2018-03-08,18,12,12,22,11,19,31,17,42
2018-03-09,19,14,15,18,22,21,29,17,42
2018-03-10,16,10,11,12,12,15,23,14,28
2018-03-11,15,10,10,10,12,15,24,16,29
2018-03-12,16,11,11,14,21,17,29,15,46
2018-03-13,15,11,10,14,21,17,29,14,49
2018-03-14,16,13,11,9,36,21,29,17,43
2018-03-15,18,14,14,19,26,23,30,17,43
2018-03-16,16,11,11,12,5,15,25,14,42
2018-03-17,16,10,10,15,18,16,23,14,27
2018-03-18,18,13,12,14,12,22,31,25,29
2018-03-19,18,12,12,7,11,18,30,16,41
2018-03-20,18,11,11,11,5,17,28,16,44
2018-03-21,19,11,10,14,26,15,28,14,47
2018-03-22,14,10,9,12,16,15,26,14,50
2018-03-23,14,10,9,17,5,13,24,12,43
2018-03-24,15,9,10,10,12,12,21,11,30
2018-03-25,13,9,8,9,6,12,22,11,29
2018-03-26,14,12,11,21,11,16,26,16,40
2018-03-27,15,11,9,17,26,16,28,17,40
2018-03-28,14,10,8,16,11,14,26,15,39
2018-03-29,15,12,11,11,17,18,31,21,38
2018-03-30,19,13,13,16,0,18,29,20,31
2018-03-31,16,10,11,14,12,13,24,13,23
2018-04-01,14,10,10,10,25,15,23,14,23
2018-04-02,15,11,11,7,6,13,24,15,36
2018-04-03,16,10,11,21,5,14,27,15,37
2018-04-04,14,10,9,6,21,13,24,14,37
2018-04-05,15,11,10,8,11,16,24,12,39
2018-04-06,15,10,9,14,0,15,23,11,36
2018-04-07,12,9,8,15,18,12,17,10,26
2018-04-08,12,8,7,16,6,11,17,10,28
2018-04-09,14,9,10,17,0,12,25,12,41
2018-04-10,14,10,10,6,16,12,22,11,42
2018-04-11,13,9,8,12,16,12,25,11,41
2018-04-12,17,11,10,19,31,14,27,13,43
2018-04-13,18,11,12,16,22,14,28,14,37
2018-04-14,14,8,9,11,6,11,20,11,25
2018-04-15,13,8,9,7,12,11,20,12,27
2018-04-16,14,9,9,5,21,11,24,12,38
2018-04-17,15,9,9,9,10,15,24,11,40
2018-04-18,14,8,9,6,16,14,24,10,41
2018-04-19,14,9,10,7,16,13,25,12,43
2018-04-20,16,9,11,17,11,14,26,14,37
2018-04-21,16,8,9,8,6,13,22,12,29
2018-04-22,14,8,9,7,12,12,23,12,31
2018-04-23,15,9,9,15,5,13,28,14,43
2018-04-24,18,11,12,13,5,16,30,17,44
2018-04-25,17,10,11,17,16,16,29,16,37
2018-04-26,14,8,8,15,11,12,26,12,41
2018-04-27,15,8,10,9,11,12,24,13,39
2018-04-28,14,7,8,14,0,12,19,10,24
2018-04-29,13,7,8,7,6,11,23,11,27
2018-04-30,13,8,9,8,5,13,26,12,36
2018-05-01,14,8,9,12,17,13,24,11,36
2018-05-02,13,8,8,7,5,11,25,13,40
2018-05-03,14,8,9,6,16,13,32,19,42
2018-05-04,16,8,9,4,11,12,30,17,39
2018-05-05,14,8,9,7,6,11,25,15,26
2018-05-06,13,8,8,9,12,11,25,15,27
2018-05-07,13,8,8,7,11,12,36,25,39
2018-05-08,14,8,7,9,11,13,29,15,40
2018-05-09,13,7,7,9,5,11,27,13,43
2018-05-10,13,7,6,8,16,12,25,13,42
2018-05-11,14,9,8,12,22,15,26,14,41
2018-05-12,13,7,8,8,24,10,19,11,28
2018-05-13,13,6,6,4,0,10,21,10,31
2018-05-14,14,8,8,12,0,13,26,12,44
2018-05-15,12,7,7,8,16,12,24,12,45
2018-05-16,13,7,8,13,16,12,24,10,48
2018-05-17,12,7,7,17,0,11,24,11,44
2018-05-18,12,7,7,14,17,12,23,12,40
2018-05-19,11,6,6,4,19,8,18,11,26
2018-05-20,11,6,6,6,0,9,20,9,25
